명령어					하는일

git init					관리해줄 깃파일 생성
git config --global user.name "(내이름)"	이름설정
git config --global user.email "(내 메일주소)"	메일설정
git status					현재상태 보는것
git add -A				모든걸 git 타입캡슐에 넣음
git commit -m "(메모할 내용)"			커밋과 메모
git log					캡슐의 정보와 메세지
git reset 000000 --hard			복원여지없이 되돌리기
git revert 000000				히스토리는 남기고 과거로 돌아가기
:wq					그대로 저장하겠다 (위와 연계)
git branch (브랜치명)			(브랜치명) 브랜치 생성
git branch				브랜치 목록보기
git branch -a				깃헙에 있는것도 확인 (git fetch 필요)
git checkout (브랜치명)			(브랜치명) 브랜치로 이동
git merge (브랜치이름)			브랜치 병합
git log --graph --all -decorate		시각화된 작업내용 확인
git rebase (브랜치명)			브랜치 작업목록을 한줄로 해줌
git branch -D (브랜치명)			브랜치 삭제
git checkout -b (브랜치명)			브랜치 생성 및 checkout 한번에
git checkout -b (브랜치명) (원격명/브랜치명)	원격에 있는 브랜치를 가져와서 로컬브랜치생성

git remote				깃헙 레파지토리 확인
git push (원격명) (브랜치명)			깃헙 푸시(저장)
git push 					푸시 간단명령
.gitignore					(명령어x)파일 생성후 ignore할 파일을 메모
git clone  (url주소)				초기 다운
git fetch					버전 차이 갱신
git pull (원격명) (브랜치명)			버전 동기화
git push -d (원격명) (브랜치명) 			원격의 브랜치 제거






